RECORD_ID,ISSUE_DATE,YEAR,MONTH,PERMIT_TYPE,WORK_TYPE,REPORTED_COST,COMMUNITY_AREA_NAME,LATITUDE,LONGITUDE,x,y,PROJECTION,COMMUNITY_UPPER
100895189,2020-10-12,2020,10,PERMIT - EASY PERMIT PROCESS,Unknown,6000.0,West Ridge,41.99362396362,-87.70329353475,-1.4061624458632789,0.5097094806393297,PCA,WEST RIDGE
100863232,2020-05-04,2020,5,PERMIT - RENOVATION/ALTERATION,Unknown,400000.0,Loop,41.88001342713,-87.63657238451,0.310104612075081,1.6087494587470899,PCA,LOOP
B100894997,2020-10-09,2020,10,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,10000.0,Brighton Park,41.81773243211,-87.69806923264,0.1318593254972707,-0.013688440866249502,PCA,BRIGHTON PARK
B200412961,2025-02-23,2025,2,PERMIT – EXPRESS PERMIT PROGRAM,Plumbing Work,800.0,Greater Grand Crossing,41.76062160379,-87.60803755004,1.6704019320286136,-1.356054231659599,PCA,GREATER GRAND CROSSING
B200423677,2025-05-21,2025,5,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,,Loop,41.88670773797,-87.63079457779,0.42572083996678955,-0.09787267199031453,PCA,LOOP
B101053137,2024-06-11,2024,6,PERMIT – EXPRESS PERMIT PROGRAM,Administrative Change,,Logan Square,41.92924564723,-87.70352549243,-0.8174071208319947,-0.058754589878310254,PCA,LOGAN SQUARE
B101041701,2024-01-09,2024,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,500.0,Washington Heights,41.71175465242,-87.65040426366,1.6634177023963383,-1.4059361008890934,PCA,WASHINGTON HEIGHTS
100930013,2021-07-14,2021,7,PERMIT - RENOVATION/ALTERATION,Unknown,6700.0,Logan Square,41.92805690173,-87.72527616765,-1.1390763932720736,0.31316238312512357,PCA,LOGAN SQUARE
100941922,2021-10-14,2021,10,PERMIT - NEW CONSTRUCTION,Unknown,10000.0,Near North Side,41.89488309119,-87.63550307642,0.20303505738288025,0.6221518161114161,PCA,NEAR NORTH SIDE
100853850,2020-02-14,2020,2,PERMIT - RENOVATION/ALTERATION,Unknown,62500.0,Loop,41.88347312241,-87.62772975003,0.3747846219157242,0.5465323559697722,PCA,LOOP
B100890868,2020-10-21,2020,10,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,4000.0,Douglas,41.843275908,-87.62026993026,0.8646824688397639,-0.03793370326212771,PCA,DOUGLAS
101069017,2025-06-02,2025,6,PERMIT - RENOVATION/ALTERATION,Unknown,375000.0,Lake View,41.94745984707,-87.67023679123,-0.6714528234556209,1.6401219395040914,PCA,LAKE VIEW
100976079,2022-06-17,2022,6,PERMIT - NEW CONSTRUCTION,Unknown,75000.0,Loop,41.88422160695,-87.61933905919,0.45735653670184195,0.8135517156462447,PCA,LOOP
100958062,2022-02-08,2022,2,PERMIT - EASY PERMIT PROCESS,Unknown,15000.0,Lincoln Park,41.92183425067,-87.64013329095,-0.08240152260652144,0.0989904294967179,PCA,LINCOLN PARK
100980293,2022-07-15,2022,7,PERMIT - EASY PERMIT PROCESS,Unknown,12800.0,Albany Park,41.96959306588,-87.7267069679,-1.5300536934507436,0.16626776023460757,PCA,ALBANY PARK
100999501,2022-12-16,2022,12,PERMIT - EASY PERMIT PROCESS,Unknown,26163.0,Belmont Cragin,41.92858565051,-87.7554258623,-1.5535945269427287,0.7653350259126748,PCA,BELMONT CRAGIN
B200411554,2025-01-20,2025,1,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,2700.0,Belmont Cragin,41.93735822549,-87.74422175847,-1.2940195049416487,-0.9558753558302409,PCA,BELMONT CRAGIN
100873297,2020-06-03,2020,6,PERMIT - RENOVATION/ALTERATION,Unknown,10000.0,Portage Park,41.95699482926,-87.76262773611,-1.8143218090756392,0.2952704097343978,PCA,PORTAGE PARK
